class,subject,term,week,topic,learningObjectives,contents,teacherActivities,learnerActivities,teachingMaterials,assessment
Primary 5,Basic Science,First Term,1,Pollution: Changes Caused by Human Activities,"Define pollution and list some agents of pollution | List common causes of pollution | Discuss the role of human activities in the degradation of the environment | Identify the causes of pollution on land, water, and air | Suggest ways of reducing pollution of the environment","Meaning of environment: consists of living (biotic) and non-living (abiotic) elements; three components are physical, biological and socio-economic | Meaning of pollution: making the environment unsafe for plants and animals when air, water and land become contaminated | Pollutants: substances that contaminate the environment - can be solid, liquid or gaseous | Types and causes of pollution introduced",Displays a chart showing different types of pollution | Explains the meaning of environment and pollution | Links lesson to pupils' prior knowledge from previous classes,Observe the chart on types of pollution | Give local examples of pollution observed in their environment | Answer oral questions on pollution,A chart showing different types of pollution | Scheme of work | 9-Years Basic Education Curriculum | Online information,"Define pollution and list some agents of pollution | List common causes of pollution | Discuss the role of human activities in the degradation of the environment | Identify the causes of pollution on land, water, and air | Suggest ways of reducing pollution of the environment"
Primary 5,Basic Science,First Term,2,Pollution: Air Pollution,"Define pollution and list some agents of pollution | List common causes of pollution | Discuss the role of human activities in the degradation of the environment | Identify the causes of pollution on land, water, and air | Suggest ways of reducing pollution of the environment","Continuation of types and causes of pollution, focus on air pollution",Displays chart showing air pollution sources | Explains causes and effects of air pollution,Discuss sources of air pollution in their community | Answer questions on air pollution,A chart showing different types of pollution | Scheme of work | 9-Years Basic Education Curriculum | Online information,What is pollution? | Name six different types of pollutants | Write short notes on different types of pollution | What are the causes of pollution? | How can you control pollution?
Primary 5,Basic Science,First Term,3,Types of Pollution: Water Pollution,"Define pollution and list some agents of pollution | List common causes of pollution | Identify the causes of pollution on land, water, and air | Suggest ways of reducing pollution of the environment","Causes of water pollution: untreated sewage, dumping of faeces/dead animals, oil spillage, industrial effluents | Effects of water pollution: harmful to health, kills fish, unfit for drinking/swimming, affects fishing industry and farmland | Control of water pollution: reducing fertilizer use, not emptying detergent into rivers, directing waste water into soakaway pits, repairing leaking pipelines promptly","Explains causes, effects and control of water pollution | Uses chart to illustrate water pollution sources",Discuss local sources of water pollution | Suggest ways to control water pollution in their area,A chart showing different types of pollution | Scheme of work | 9-Years Basic Education Curriculum | Online information,"Define pollution and list some agents of pollution | List common causes of pollution | Discuss the role of human activities in the degradation of the environment | Identify the causes of pollution on land, water, and air | Suggest ways of reducing pollution of the environment"
Primary 5,Basic Science,First Term,4,Types of Pollution: Land Pollution,"Define pollution and list some agents of pollution | List common causes of pollution | Identify the causes of pollution on land, water, and air | Suggest ways of reducing pollution of the environment","Pollutants of the land: solid refuse, chemical waste, faeces, disused vehicles/equipment | Harmful effects of land pollution: refuse creates homes for disease vectors, houseflies transfer germs to food, abandoned vehicles injure children, refuse causes accidents | Control of land pollution: proper latrines/water closets, dustbins and collection centres, recycling materials","Explains causes, effects and control of land pollution | Leads discussion on refuse disposal practices",Identify land pollution sources in their environment | Discuss proper refuse disposal practices,A chart showing different types of pollution | Scheme of work | 9-Years Basic Education Curriculum | Online information,What is pollution? | Name six different types of pollutants | Write short notes on different types of pollution | What are the causes of pollution? | State the economic importance of pollution | How can you control pollution?
Primary 5,Basic Science,First Term,5,Changes Around Us: Erosion,Explain the meaning of erosion | Name agents of erosion | Explain the harmful effects of erosion on human beings | Describe ways of controlling erosion,"Erosion: the wearing away of surface soil by water or wind (agents of erosion) | Effects of erosion: reduces soil fertility and crop yield, makes land unusable, can cause landslides | Control of erosion: planting grasses (e.g. Bahama/carpet grass), planting trees (e.g. bamboo, cashew), planting cover crops, making ridges at right angles to slope, making crossbars across water channels, avoiding bush burning","Displays a chart showing different types of erosion | Explains the meaning, effects and control of erosion",Observe chart on erosion | Discuss erosion sites they have seen and how erosion could be controlled,A chart showing different types of erosion | Scheme of work | 9-Years Basic Education Curriculum | Online information,What is erosion? | Name two agents of erosion | Explain the harmful effects of erosion on human beings | Describe four ways of controlling erosion
Primary 5,Basic Science,First Term,6,Changes Around Us: Erosion (continued),Explain the meaning of erosion | Name agents of erosion | Explain the harmful effects of erosion on human beings | Describe ways of controlling erosion,"Continued review of the effects of erosion (crop yield, land unusability, landslides) | Continued review of methods of controlling erosion",Reviews previous lesson on erosion and reinforces key points | Leads recap discussion of erosion control methods,Answer review questions on erosion | Practice describing erosion control methods in their own words,A chart showing different types of erosion | Scheme of work | 9-Years Basic Education Curriculum | Online information,What is erosion? | Name two agents of erosion | Explain the harmful effects of erosion on human beings | Describe four ways of controlling erosion
Primary 5,Basic Science,First Term,7,Environmental Quality,Explain the term 'environmental quality' | List the things you would expect to see in a healthy environment | List the things you would expect to see in an unhealthy environment | List the advantages of a healthy environment | List the disadvantages of an unhealthy environment | State what can be done to make a school compound healthy and beautiful | State the materials that can be used to make a school compound healthy and beautiful,"Meaning of environmental quality: good (healthy, unpolluted) vs poor (highly polluted) | Qualities/advantages of a healthy environment: beautiful flowers, cut grass, low noise, clean air/water/ground, no refuse or cockroaches | Properties/disadvantages of an unhealthy environment: no flowers, tall uncut grass, high noise, polluted air/water/land, refuse heaps, disease vectors | Materials for maintaining a healthy environment: cutlass, lawn mower, rake, water/hose, hoe, flower seeds, fertilizers, insecticide, dustbin, wheelbarrow, incinerator",Displays a chart showing a beautiful and healthy school compound | Explains features of healthy vs unhealthy environments | Lists and explains materials for maintaining a healthy environment,Compare pictures of healthy and unhealthy environments | Identify materials used to maintain a healthy school compound | Discuss ways to improve their own school compound,A chart showing a beautiful and healthy school compound | Scheme of work | 9-Years Basic Education Curriculum | Online information,Explain the term 'environmental quality' | List five things you would expect to see in a healthy environment | List five things you would expect to see in an unhealthy environment | List six advantages of a healthy environment | List six disadvantages of an unhealthy environment | What can be done to make a school compound healthy and beautiful? | What materials can be used to make a school compound healthy and beautiful?
Primary 5,Basic Science,First Term,8,Environmental Quality (continued),Explain the term 'environmental quality' | List the things you would expect to see in a healthy environment | List the things you would expect to see in an unhealthy environment | List the advantages of a healthy environment | List the disadvantages of an unhealthy environment,Continued study of materials used for maintaining a healthy environment | Reinforcement of healthy vs unhealthy environment qualities,Reviews and reinforces environmental quality concepts from Week 7 | Leads practical discussion on classroom/compound cleanliness,Participate in classroom/compound clean-up discussion | Answer review questions,A chart showing a beautiful and healthy school compound | Scheme of work | 9-Years Basic Education Curriculum | Online information,Explain the term 'environmental quality' | List the things you would expect to see in a healthy environment | List the things you would expect to see in an unhealthy environment | List the advantages of a healthy environment | List the disadvantages of an unhealthy environment | Know what can be done to make a school compound healthy and beautiful | Know the materials that can be used to make a school compound healthy and beautiful
Primary 5,Basic Science,First Term,9,Waste and Waste Disposal,Identify the components and types of waste | Mention the dangers of poor and improper waste disposal | Explain the advantages of recycling waste | Discuss different ways of disposing of waste,"Meaning of waste: refuse or garbage; can be a pollutant if not properly disposed | Types of waste: refuse (solid, biodegradable/non-biodegradable) and sewage (liquid organic/inorganic waste) | Waste disposal methods: pit latrine, water closet, cesspool, septic tank (for sewage); incineration, composting, land filling, dustbin (for refuse)",Displays a chart showing waste products | Explains types of waste and disposal methods | Assigns activity on household waste disposal,Mention the methods by which refuse and sewage are disposed of in their houses | Discuss types of waste seen in their community,A chart showing waste products | Scheme of work | 9-Years Basic Education Curriculum | Online information,Identify the components and types of waste | Mention the dangers of poor and improper waste disposal | Explain the advantages of recycling waste | Discuss different ways of disposing of waste
Primary 5,Basic Science,First Term,10,Waste and Waste Disposal (continued),Identify the components and types of waste | Mention the dangers of poor and improper waste disposal | Explain the advantages of recycling waste | Discuss different ways of disposing of waste,Continued study of waste disposal methods and their importance,Reviews waste types and disposal methods | Leads discussion on the activity assigned in Week 9,Share findings from the household waste disposal activity | Discuss improvements needed in waste management in their community,A chart showing waste products | Scheme of work | 9-Years Basic Education Curriculum | Online information,Identify the components and types of waste | Mention the dangers of poor and improper waste disposal | Explain the advantages of recycling waste | Discuss different ways of disposing of waste
