pupil_id,date,status
1,2026-07-13,PRESENT
2,2026-07-13,PRESENT
3,2026-07-13,LATE
4,2026-07-13,PRESENT
5,2026-07-13,PRESENT
6,2026-07-13,PRESENT
7,2026-07-13,PRESENT
8,2026-07-13,ABSENT
9,2026-07-13,PRESENT
10,2026-07-13,PRESENT
1,2026-07-15,PRESENT
2,2026-07-15,LATE
3,2026-07-15,PRESENT
4,2026-07-15,PRESENT
5,2026-07-15,PRESENT
6,2026-07-15,ABSENT
7,2026-07-15,PRESENT
8,2026-07-15,PRESENT
9,2026-07-15,PRESENT
10,2026-07-15,PRESENT
1,2026-07-17,PRESENT
2,2026-07-17,PRESENT
3,2026-07-17,PRESENT
4,2026-07-17,LATE
5,2026-07-17,PRESENT
6,2026-07-17,PRESENT
7,2026-07-17,PRESENT
8,2026-07-17,PRESENT
9,2026-07-17,ABSENT
10,2026-07-17,PRESENT
1,2026-07-20,PRESENT
2,2026-07-20,PRESENT
3,2026-07-20,PRESENT
4,2026-07-20,PRESENT
5,2026-07-20,LATE
6,2026-07-20,PRESENT
7,2026-07-20,ABSENT
8,2026-07-20,PRESENT
9,2026-07-20,PRESENT
10,2026-07-20,PRESENT
1,2026-07-22,PRESENT
2,2026-07-22,PRESENT
3,2026-07-22,LATE
4,2026-07-22,PRESENT
5,2026-07-22,PRESENT
6,2026-07-22,PRESENT
7,2026-07-22,PRESENT
8,2026-07-22,PRESENT
9,2026-07-22,PRESENT
10,2026-07-22,ABSENT
1,2026-07-24,ABSENT
2,2026-07-24,PRESENT
3,2026-07-24,PRESENT
4,2026-07-24,PRESENT
5,2026-07-24,PRESENT
6,2026-07-24,LATE
7,2026-07-24,PRESENT
8,2026-07-24,PRESENT
9,2026-07-24,PRESENT
10,2026-07-24,PRESENT
1,2026-07-27,PRESENT
2,2026-07-27,PRESENT
3,2026-07-27,PRESENT
4,2026-07-27,PRESENT
5,2026-07-27,PRESENT
6,2026-07-27,PRESENT
7,2026-07-27,LATE
8,2026-07-27,PRESENT
9,2026-07-27,PRESENT
10,2026-07-27,PRESENT
1,2026-07-29,PRESENT
2,2026-07-29,ABSENT
3,2026-07-29,PRESENT
4,2026-07-29,PRESENT
5,2026-07-29,PRESENT
6,2026-07-29,PRESENT
7,2026-07-29,PRESENT
8,2026-07-29,LATE
9,2026-07-29,PRESENT
10,2026-07-29,PRESENT
