pupil_id,subject,session,term,test_score,exam_score,final_score,grade
1,Mathematics,2026/2027,First Term,34,56,47.2,D
1,English Language,2026/2027,First Term,29,48,40.4,E
1,Basic Science,2026/2027,First Term,31,52,43.6,E
2,Mathematics,2026/2027,First Term,38,60,51.2,C
2,English Language,2026/2027,First Term,35,58,48.8,D
2,Basic Science,2026/2027,First Term,33,54,45.6,D
3,Mathematics,2026/2027,First Term,41,66,56.0,C
3,English Language,2026/2027,First Term,40,68,56.8,C
3,Basic Science,2026/2027,First Term,39,63,53.4,C
4,Mathematics,2026/2027,First Term,28,42,36.4,F
4,English Language,2026/2027,First Term,30,45,39.0,F
4,Basic Science,2026/2027,First Term,27,44,37.2,F
5,Mathematics,2026/2027,First Term,44,71,60.2,B
5,English Language,2026/2027,First Term,42,69,58.2,C
5,Basic Science,2026/2027,First Term,40,67,56.2,C
6,Mathematics,2026/2027,First Term,33,50,43.2,E
6,English Language,2026/2027,First Term,31,52,43.6,E
6,Basic Science,2026/2027,First Term,35,55,47.0,D
7,Mathematics,2026/2027,First Term,49,84,70.0,A
7,English Language,2026/2027,First Term,43,70,59.2,C
7,Basic Science,2026/2027,First Term,41,68,57.2,C
8,Mathematics,2026/2027,First Term,27,41,35.4,F
8,English Language,2026/2027,First Term,32,53,44.6,E
8,Basic Science,2026/2027,First Term,30,49,41.4,E
9,Mathematics,2026/2027,First Term,39,64,54.0,C
9,English Language,2026/2027,First Term,41,66,56.0,C
9,Basic Science,2026/2027,First Term,38,62,52.4,C
10,Mathematics,2026/2027,First Term,43,69,58.6,C
10,English Language,2026/2027,First Term,45,72,61.2,B
10,Basic Science,2026/2027,First Term,42,67,57.0,C
